queen presence,apparent hive temp,apparent temp diff,CCD
1,38.17,12.900000000000002,0
1,28.26,6.07,0
1,33.88,14.780000000000001,0
1,36.18,19.669999999999998,0
1,36.44,20.68,0
1,36.11,21.049999999999997,0
1,37.77,23.020000000000003,0
1,36.45,22.000000000000004,0
1,33.81,19.660000000000004,0
1,35.39,21.39,0
1,36.91,22.909999999999997,0
1,36.2,22.21,0
1,35.38,21.42,0
1,34.74,20.46,0
1,35.98,20.459999999999997,0
1,37.29,20.79,0
1,38.55,20.019999999999996,0
1,39.23,18.519999999999996,0
1,41.86,19.29,0
1,41.81,17.470000000000002,0
1,37.97,13.07,0
1,36.84,11.960000000000004,0
1,35.35,12.75,0
1,33.31,12.080000000000002,0
1,35.38,16.28,0
1,34.84,17.690000000000005,0
1,35.95,19.96,0
1,36.31,20.400000000000002,0
1,36.15,20.49,0
1,36.11,20.7,0
1,35.54,20.4,0
1,36.96,21.97,0
1,35.51,20.689999999999998,0
1,36.26,21.659999999999997,0
1,34.68,20.16,0
1,36.5,21.96,0
1,35.77,20.910000000000004,0
1,36.16,20.749999999999996,0
1,36.42,20.060000000000002,0
1,37.74,19.94,0
1,38.92,19.92,0
1,42.04,21.349999999999998,1
1,41.19,18.31,1
1,34.61,11.149999999999999,0
1,36.84,12.550000000000004,0
1,34.5,10.079999999999998,0
1,32.92,9.260000000000002,0
1,30.98,8.77,0
1,36.35,15.64,0
1,37.54,19.14,0
1,35.87,19.259999999999998,0
1,37.76,21.959999999999997,0
1,38.26,23.07,0
1,38.03,23.44,0
1,38.16,24.08,0
1,37.37,23.759999999999998,0
1,36.65,22.549999999999997,0
1,35.8,20.839999999999996,0
1,34.72,19.43,0
1,36.02,20.590000000000003,0
1,35.26,19.509999999999998,0
1,36.2,17.610000000000003,0
1,38.58,17.65,0
1,43.25,20.1,1
1,42.84,17.67,0
1,42.22,15.919999999999998,0
1,40.38,12.390000000000004,0
1,38.61,8.919999999999998,0
1,37.84,7.390000000000004,0
1,41.3,11.229999999999997,0
1,37.07,7.649999999999999,0
1,35.93,7.289999999999999,0
1,37.03,9.07,0
1,34.8,8.349999999999998,0
1,36.24,12.110000000000003,0
1,37.75,14.36,0
1,37.81,14.780000000000001,1
1,39.23,16.039999999999996,0
1,38.63,15.590000000000003,0
1,38.44,15.529999999999998,0
1,31.97,9.48,0
1,34.73,12.669999999999998,0
1,36.11,14.469999999999999,0
1,38.28,17.080000000000002,0
1,38.59,16.990000000000002,0
1,37.37,14.569999999999997,0
1,39.17,14.05,1
1,41.36,14.649999999999999,0
1,43.4,15.04,0
1,38.1,8.91,0
1,41.96,12.21,0
1,37.89,8.04,0
